Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
WH1A_090_R1	(1.0, 65.05283747822013)	(2.0, 16.467831209697433)	(3.0, 6.674931141532804)	(4.0, 3.602115473453919)	(5.0, 2.2117864996668435)	(6.0, 1.3370728540177415)	(7.0, 0.9855366173391852)	(8.0, 0.7004817378572391)	(9.0, 0.49638870725361806)	('>10', 2.2558720670306385)	('>50', 0.13817627016901857)	('>100', 0.07493591844767472)	('>500', 0.002034025313742931)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1A_090_R2	(1.0, 66.61215332245305)	(2.0, 15.95311077457135)	(3.0, 6.452503148706963)	(4.0, 3.335802487743953)	(5.0, 2.0392906492419294)	(6.0, 1.2949895388794506)	(7.0, 0.8889156212790215)	(8.0, 0.6087137639375013)	(9.0, 0.46713376376625776)	('>10', 2.1491584373120585)	('>50', 0.12098643595151105)	('>100', 0.07724205615693165)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1B_089_R1	(1.0, 72.48529104775898)	(2.0, 14.203556129795544)	(3.0, 5.060071438534308)	(4.0, 2.5076077680892586)	(5.0, 1.4417280758924385)	(6.0, 0.8614234410827291)	(7.0, 0.5765673229308731)	(8.0, 0.4139506199974436)	(9.0, 0.29833004269469604)	('>10', 1.7974955377034303)	('>50', 0.21635661014082633)	('>100', 0.13546228423848883)	('>500', 0.002159681140860287)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH1B_089_R2	(1.0, 73.91710535477745)	(2.0, 13.89780582429635)	(3.0, 4.764407674751832)	(4.0, 2.3033521261235683)	(5.0, 1.2962550443329253)	(6.0, 0.8092239045856147)	(7.0, 0.4950005266231521)	(8.0, 0.3554495389118489)	(9.0, 0.31152775096637614)	('>10', 1.525947248847925)	('>50', 0.1898026135170951)	('>100', 0.13412239226585698)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH2A_092_R1	(1.0, 46.325824145073796)	(2.0, 19.721741678379885)	(3.0, 11.878773849145768)	(4.0, 7.24258934806065)	(5.0, 4.499234020235092)	(6.0, 2.725998658437089)	(7.0, 1.7796080856300716)	(8.0, 1.2575508597224787)	(9.0, 0.8621817898618748)	('>10', 3.566805019672921)	('>50', 0.12472541267253244)	('>100', 0.014967133107840485)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH2A_092_R2	(1.0, 50.59223412474616)	(2.0, 20.433418246129055)	(3.0, 11.21228708257489)	(4.0, 6.2268057639496615)	(5.0, 3.604482381479808)	(6.0, 2.1547896085248603)	(7.0, 1.437544548878455)	(8.0, 0.9319791155461524)	(9.0, 0.6882173481431277)	('>10', 2.64553039809589)	('>50', 0.06680797352169168)	('>100', 0.005903408410211747)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH2B_091_R1	(1.0, 60.215484394205035)	(2.0, 19.55970775629059)	(3.0, 8.613883317243237)	(4.0, 4.3617440343634195)	(5.0, 2.2834049515863755)	(6.0, 1.3102620287843065)	(7.0, 0.818700864648174)	(8.0, 0.5838938933018971)	(9.0, 0.38375967199606625)	('>10', 1.7949144184702854)	('>50', 0.06343036344553589)	('>100', 0.010814305665052723)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH2B_091_R2	(1.0, 61.933310697655976)	(2.0, 19.389760377298202)	(3.0, 8.25472747667319)	(4.0, 3.9783423170564234)	(5.0, 2.160242816202432)	(6.0, 1.1596138090003265)	(7.0, 0.7090524202592868)	(8.0, 0.4448008302296379)	(9.0, 0.3666524923147376)	('>10', 1.5557273369645572)	('>50', 0.04181619961098165)	('>100', 0.005953226734319817)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
WH3A_094_R1	(1.0, 52.262359209776164)	(2.0, 14.088828669333866)	(3.0, 5.997639791364506)	(4.0, 3.3133295972431656)	(5.0, 2.1168219537161606)	(6.0, 1.421665349705895)	(7.0, 1.0804964938797574)	(8.0, 0.8781871980866042)	(9.0, 0.6684181655312652)	('>10', 9.362034406254551)	('>50', 2.960516292051674)	('>100', 4.792579887124285)	('>500', 0.7940604016694032)	('>1k', 0.23278984686710935)	('>5k', 0.0)	('>10k+', 0.03027273739579259)
WH3A_094_R2	(1.0, 55.73991029628702)	(2.0, 13.843572703136012)	(3.0, 5.447203708074147)	(4.0, 2.9959589570486003)	(5.0, 1.9143407975255735)	(6.0, 1.3092271217112925)	(7.0, 0.9998202394042836)	(8.0, 0.7785978661140858)	(9.0, 0.6736653024086122)	('>10', 8.761419367898423)	('>50', 2.6373474457811863)	('>100', 4.225917715770691)	('>500', 0.5305313289890171)	('>1k', 0.11888578325317083)	('>5k', 0.02360136659803526)	('>10k+', 0.0)
WH3B_093_R1	(1.0, 59.43946738662025)	(2.0, 16.398723644904518)	(3.0, 7.034523994339878)	(4.0, 3.7022336085303227)	(5.0, 2.2052374034946256)	(6.0, 1.4607274422170657)	(7.0, 1.0212383095366464)	(8.0, 0.7855131867611289)	(9.0, 0.6386863149232858)	('>10', 5.530511801324671)	('>50', 1.131754968558259)	('>100', 0.6344542301279386)	('>500', 0.00909013580014021)	('>1k', 0.007837572861245702)	('>5k', 0.0)	('>10k+', 0.0)
WH3B_093_R2	(1.0, 62.85650403565894)	(2.0, 15.96441915304028)	(3.0, 6.42989501591777)	(4.0, 3.3386824390390646)	(5.0, 1.8467914532861742)	(6.0, 1.189349620801733)	(7.0, 0.9408753740132053)	(8.0, 0.6324272418009095)	(9.0, 0.534590957484293)	('>10', 4.939305968485048)	('>50', 0.9154344742774555)	('>100', 0.39904525842209143)	('>500', 0.008822464136500396)	('>1k', 0.00385654363659917)	('>5k', 0.0)	('>10k+', 0.0)
