Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
KH3B_105_R1	(1, 33.038507118255616)	(2, 33.254074142763564)	(3, 33.31301563938859)	(4, 36.64260308199336)	(5, 36.63194814119861)	(6, 36.6265469227912)	(7, 36.63649949982346)	(8, 36.64568828725446)	(9, 38.52297200558102)	(10, 38.512928640418984)	(12, 38.4902541061138)	(14, 40.10466158100192)	(16, 40.05555140088286)	(18, 40.0155328739618)	(20, 39.957556373563534)	(22, 39.84286487817813)	(24, 39.83972355708299)	(26, 39.83822632076469)	(28, 39.9562265596594)	(30, 39.99159792584924)	(32, 39.97559279449749)	(34, 39.94081905361432)	(36, 39.89329789703831)	(38, 39.84003201840348)	(40, 39.78213529758858)	(42, 39.70143040426565)	(44, 39.613298238950804)	(46, 39.51233982194944)	(48, 39.40498545798772)	(50, 39.279568863138714)	(52, 39.118200242905885)	(54, 38.923071223112046)	(56, 38.714932210666355)	(58, 38.469942301895564)	(60, 38.18369089955476)	(62, 37.88559857518696)	(64, 37.55135444344527)	(66, 37.21118939739698)	(68, 36.812207686089394)	(70, 36.42499749671205)	(72, 36.046823732783096)	(74, 35.6358283670296)	(76, 34.168061057875796)	(78, 34.950962143255566)	(80, 34.87872173051537)	(82, 34.5834783439505)	(84, 34.2818425442612)	(86, 34.01090375244529)	(88, 33.74698030946634)	(90, 33.50183737264962)	(92, 33.38387152852427)	(94, 33.226138596378135)	(96, 33.123343528295734)	(98, 33.21840732198959)	(100, 33.541126858068736)
KH3B_105_R2	(1, 32.90218083189679)	(2, 33.08912004821706)	(3, 33.15385747976888)	(4, 36.5644355198539)	(5, 36.564951348885515)	(6, 36.57410135663035)	(7, 36.582526206446026)	(8, 36.58249530850905)	(9, 38.41193329390732)	(10, 38.38943030790849)	(12, 38.34937720120048)	(14, 39.948568163698226)	(16, 39.90900746279537)	(18, 39.876824893213396)	(20, 39.8077449323868)	(22, 39.72468968665348)	(24, 39.63082530646868)	(26, 39.61049485247771)	(28, 39.63761589594137)	(30, 39.75195323066239)	(32, 39.788294921585475)	(34, 39.773825824739944)	(36, 39.74391551164504)	(38, 39.66732748164644)	(40, 39.606901570421876)	(42, 39.550428578438094)	(44, 39.43566542574138)	(46, 39.34157545361317)	(48, 39.24902841714716)	(50, 38.26509989580549)	(52, 38.38299421213184)	(54, 38.88012077800043)	(56, 38.799258897255214)	(58, 38.59416410867519)	(60, 38.343460893831804)	(62, 38.02683339662168)	(64, 37.70160955679481)	(66, 37.37262506800322)	(68, 37.00564140823842)	(70, 36.621463675608226)	(72, 36.21667348518146)	(74, 35.84732143379156)	(76, 35.474831410124864)	(78, 35.08150033943326)	(80, 34.72167547264038)	(82, 34.38691847214845)	(84, 34.04582463781512)	(86, 33.76199134132496)	(88, 33.4809041313613)	(90, 33.22802381457567)	(92, 33.046113635285494)	(94, 32.82015058359357)	(96, 32.6978168072788)	(98, 32.881902219833606)	(100, 33.35764523014951)
WH1A_090_R1	(1, 33.24216404660908)	(2, 33.44694911752313)	(3, 33.48214389766013)	(4, 36.702972076856604)	(5, 36.66565788044704)	(6, 36.72842612539514)	(7, 36.74559169674666)	(8, 36.75553019950368)	(9, 38.67276173884056)	(10, 38.66350958880798)	(12, 38.640841162908664)	(14, 40.36674570603219)	(16, 40.34623159624549)	(18, 40.33173902874539)	(20, 40.30056362512914)	(22, 40.2509216391867)	(24, 40.19682781021366)	(26, 40.108908861926096)	(28, 40.03084430049336)	(30, 39.96785551446786)	(32, 40.007087453039475)	(34, 39.9749670492067)	(36, 39.90189339162865)	(38, 39.9632243137906)	(40, 35.24868498860225)	(42, 38.72652974420247)	(44, 39.59987045114595)	(46, 39.644083090834776)	(48, 39.52656645462355)	(50, 39.34854052431771)	(52, 39.13344259115587)	(54, 38.91371224270518)	(56, 38.65601350803573)	(58, 38.36228498823948)	(60, 38.06754599256392)	(62, 37.74306146644042)	(64, 37.42314928901334)	(66, 37.08126399414758)	(68, 36.57734808634055)	(70, 36.333012411354815)	(72, 35.75417488729295)	(74, 35.66790251507843)	(76, 34.416994171840074)	(78, 35.21862067929048)	(80, 35.13111309566051)	(82, 34.9580962236041)	(84, 34.76973061242628)	(86, 34.60804417182874)	(88, 34.45392498824337)	(90, 34.27782701903186)	(92, 34.18714495890677)	(94, 34.11927238157513)	(96, 34.04721747543011)	(98, 33.999524131368894)	(100, 34.1825490026695)
WH1A_090_R2	(1, 29.86604382247405)	(2, 27.169705338788052)	(3, 30.06693922119169)	(4, 35.13891775255913)	(5, 35.877038000856835)	(6, 36.31736450529825)	(7, 36.549338802691594)	(8, 36.634565572459245)	(9, 38.52168203171937)	(10, 38.54768419398714)	(12, 38.50714700139765)	(14, 40.18819624573594)	(16, 40.128271552303104)	(18, 39.911304688170816)	(20, 40.090238062902436)	(22, 40.08155278020223)	(24, 40.05799342859494)	(26, 39.965466341055745)	(28, 39.89883639236774)	(30, 39.93248297997151)	(32, 39.89595596524423)	(34, 39.84805432339056)	(36, 39.78522534786234)	(38, 39.69660445123735)	(40, 39.57592799484435)	(42, 39.44890613212701)	(44, 39.300806547449675)	(46, 39.14322735647364)	(48, 39.166016223259476)	(50, 38.288248823843006)	(52, 38.4278383213977)	(54, 38.800729670632634)	(56, 38.647286329332644)	(58, 38.38903781286735)	(60, 38.09991662258166)	(62, 37.78246732119872)	(64, 37.438321164490574)	(66, 37.126485036778604)	(68, 36.77830381076779)	(70, 36.448515399671834)	(72, 36.1293203613246)	(74, 35.794239434020795)	(76, 35.522665931896825)	(78, 35.24888277595562)	(80, 34.988661438740806)	(82, 34.60280624836372)	(84, 34.52303190247012)	(86, 34.36692224577993)	(88, 34.21115956313757)	(90, 34.063874788507775)	(92, 33.9355789277778)	(94, 33.823427814029166)	(96, 33.73759961718034)	(98, 33.77476427060938)	(100, 34.04002340193431)
WH1B_089_R1	(1, 33.245501266543855)	(2, 33.44988875994163)	(3, 33.49089754548609)	(4, 36.713422268871746)	(5, 36.6718120954946)	(6, 36.730824552921526)	(7, 36.74528950772957)	(8, 36.75466158205516)	(9, 38.6683590899316)	(10, 38.65932964892741)	(12, 38.636430848302766)	(14, 40.36267273168609)	(16, 40.34163790280197)	(18, 40.32776918135427)	(20, 40.29865726159281)	(22, 40.24773694937513)	(24, 40.19546330180967)	(26, 40.109353145139565)	(28, 40.03085733863826)	(30, 39.969874023714304)	(32, 40.01671243565377)	(34, 39.988100499708914)	(36, 39.92063863486795)	(38, 39.98330076961345)	(40, 35.27848538955817)	(42, 38.7661589189602)	(44, 39.64030290428499)	(46, 39.695179396746084)	(48, 39.58966594077515)	(50, 39.425421085208534)	(52, 39.2240473217869)	(54, 39.019285499153696)	(56, 38.7786209439989)	(58, 38.49841450067285)	(60, 38.21830681049139)	(62, 37.906847034144434)	(64, 37.59570559146359)	(66, 37.25991426754343)	(68, 36.756508977667195)	(70, 36.510689770178935)	(72, 35.92015298539347)	(74, 35.83113858628499)	(76, 34.560630765379585)	(78, 35.35474696957117)	(80, 35.25528391504527)	(82, 35.064504997694556)	(84, 34.860475322857326)	(86, 34.684873037491926)	(88, 34.517352670208126)	(90, 34.329399009143515)	(92, 34.23104251346602)	(94, 34.15501250834984)	(96, 34.076224942350905)	(98, 34.02352527355603)	(100, 34.19539550107381)
WH1B_089_R2	(1, 29.83519816687982)	(2, 27.182784559845206)	(3, 30.078684280191357)	(4, 35.147633022122115)	(5, 35.87219592204985)	(6, 36.30835195679642)	(7, 36.53658089744698)	(8, 36.6216575415052)	(9, 38.501149938233056)	(10, 38.526703161203514)	(12, 38.48475261265476)	(14, 40.158929383696275)	(16, 40.09699857857653)	(18, 39.878306835363766)	(20, 40.060742020165016)	(22, 40.05036938912368)	(24, 40.027467348544995)	(26, 39.93497809872886)	(28, 39.86611227016739)	(30, 39.90371462039733)	(32, 39.870233082620885)	(34, 39.82347463863795)	(36, 39.7635480887233)	(38, 39.68001561003311)	(40, 39.564358463409576)	(42, 39.44397334021818)	(44, 39.306377744801516)	(46, 39.15765635993651)	(48, 39.19382357416086)	(50, 38.32445163205158)	(52, 38.47366797716808)	(54, 38.87493824860324)	(56, 38.74186472903888)	(58, 38.4984575200626)	(60, 38.22300245297248)	(62, 37.918393641259655)	(64, 37.58310239933651)	(66, 37.27842080320163)	(68, 36.93480767387369)	(70, 36.601356758571946)	(72, 36.27586591944382)	(74, 35.93101376951013)	(76, 35.64683077350237)	(78, 35.35786118721276)	(80, 35.08066958657434)	(82, 34.67724211119463)	(84, 34.57973086716323)	(86, 34.408615018155686)	(88, 34.236372745126985)	(90, 34.074531100924276)	(92, 33.93780978583282)	(94, 33.816312998410886)	(96, 33.72256021560945)	(98, 33.758763707501004)	(100, 34.01901122688277)
WH2A_092_R1	(1, 32.928075875232516)	(2, 33.20328704368206)	(3, 33.24893829844628)	(4, 36.59061424342271)	(5, 36.5990587526395)	(6, 36.62143517829252)	(7, 36.620175034537645)	(8, 36.62081239095767)	(9, 38.46746038229373)	(10, 38.4671479328955)	(12, 38.44229824667512)	(14, 40.095151539835)	(16, 40.05526519699866)	(18, 40.023518960995716)	(20, 40.000007554340456)	(22, 39.95858888861622)	(24, 39.8986466164461)	(26, 39.832485937313706)	(28, 39.75792933604245)	(30, 39.647903452338284)	(32, 39.69839997192226)	(34, 39.66199987509532)	(36, 39.622524305386605)	(38, 39.76516795433763)	(40, 39.80421634016979)	(42, 39.74742728959039)	(44, 39.680952988025524)	(46, 39.628048604532665)	(48, 39.542854928838814)	(50, 39.41724988364673)	(52, 39.292224270444265)	(54, 39.13433956366224)	(56, 38.93846945120907)	(58, 38.7028977136202)	(60, 38.47702027111073)	(62, 38.19690286352202)	(64, 37.887925693536545)	(66, 37.463493379934384)	(68, 37.19035090427567)	(70, 36.84482107263095)	(72, 36.47543714411022)	(74, 36.115844637903336)	(76, 34.692084672332356)	(78, 35.438460583070274)	(80, 35.296133195878745)	(82, 35.05916514872126)	(84, 34.801078837237796)	(86, 34.56243269422831)	(88, 34.352682935744326)	(90, 34.178996871330014)	(92, 34.03510953629441)	(94, 33.92310927175173)	(96, 33.85375395118986)	(98, 33.865486369787966)	(100, 34.06181070899851)
WH2A_092_R2	(1, 29.821368892474098)	(2, 28.102626583179788)	(3, 30.424066186157436)	(4, 35.1661401228805)	(5, 35.79291211425766)	(6, 36.17943930465158)	(7, 36.35588016957946)	(8, 36.41853723006547)	(9, 38.27832480013491)	(10, 38.27934668890677)	(12, 38.264476802567685)	(14, 39.84445271642118)	(16, 39.83712534635595)	(18, 39.71776003388849)	(20, 39.751240835611405)	(22, 39.725834884827506)	(24, 39.699816445949324)	(26, 39.612349558946164)	(28, 39.52731021936631)	(30, 39.59788902636329)	(32, 39.58100710478682)	(34, 39.547701988400945)	(36, 39.49069775642188)	(38, 39.388133121179926)	(40, 39.334446793067514)	(42, 39.22735152424772)	(44, 39.11843972980611)	(46, 39.00895367645585)	(48, 38.9942714169423)	(50, 38.204902018561995)	(52, 38.432367268478586)	(54, 38.926481909395676)	(56, 38.861887958245234)	(58, 38.683691412981204)	(60, 38.451166573160194)	(62, 38.17693460676678)	(64, 37.883789715595974)	(66, 37.550410454062316)	(68, 37.20154291773309)	(70, 36.83925429791532)	(72, 36.484858861224936)	(74, 36.1251679022549)	(76, 35.748262748031635)	(78, 35.38574125745798)	(80, 35.066734527479056)	(82, 34.76501042757051)	(84, 34.498164940437306)	(86, 34.259007776794675)	(88, 34.04741405541817)	(90, 33.86170678310799)	(92, 33.71223986382293)	(94, 33.586985157034796)	(96, 33.44217518365376)	(98, 33.53391683027757)	(100, 33.869079638132504)
WH2B_091_R1	(1, 33.254549640561606)	(2, 33.45562498350541)	(3, 33.50089097237867)	(4, 36.705267377921516)	(5, 36.6571343682877)	(6, 36.71733153936998)	(7, 36.7346169553612)	(8, 36.74375170610896)	(9, 38.66322107595083)	(10, 38.655171887287395)	(12, 38.633146008157524)	(14, 40.35836621505252)	(16, 40.34129310213447)	(18, 40.33005281957495)	(20, 40.302577184890986)	(22, 40.25627691549054)	(24, 40.207941624632326)	(26, 40.12410695820249)	(28, 40.05294100945379)	(30, 39.99837457336018)	(32, 40.04829374521978)	(34, 40.02757175007528)	(36, 39.97012366789829)	(38, 40.049777636477494)	(40, 35.327473973430294)	(42, 38.86982642072144)	(44, 39.76467606825688)	(46, 39.84532341506749)	(48, 39.765927412592816)	(50, 39.62658763025937)	(52, 39.449239836337064)	(54, 39.26336000365076)	(56, 39.03299898863677)	(58, 38.758866012228026)	(60, 38.475504342748714)	(62, 38.15393147977644)	(64, 37.828039700360165)	(66, 37.47066680635304)	(68, 36.94759107780394)	(70, 36.67365716590638)	(72, 36.06320634197459)	(74, 35.941092902480946)	(76, 34.662647829060255)	(78, 35.40531896256452)	(80, 35.28108808227192)	(82, 35.08449726646569)	(84, 34.87976449198648)	(86, 34.70946817665572)	(88, 34.5496481101581)	(90, 34.373724233662394)	(92, 34.287955450494685)	(94, 34.225473097740874)	(96, 34.15947617840858)	(98, 34.11007085146856)	(100, 34.26938682518841)
WH2B_091_R2	(1, 29.92037579674055)	(2, 27.164371987351483)	(3, 30.09651389204087)	(4, 35.17332745994856)	(5, 35.91210386855658)	(6, 36.350199166016345)	(7, 36.58093632203068)	(8, 36.66245518367904)	(9, 38.55871683965388)	(10, 38.585298785623564)	(12, 38.54531036521933)	(14, 40.23927635732646)	(16, 40.182004822668034)	(18, 39.97067486958086)	(20, 40.15028042448148)	(22, 40.14462941705122)	(24, 40.126316940266946)	(26, 40.03859591239526)	(28, 39.97935240385837)	(30, 40.02124686266811)	(32, 39.99317100359194)	(34, 39.95864254644512)	(36, 39.91099884893134)	(38, 39.84378749883448)	(40, 39.74856967059169)	(42, 39.64924731626756)	(44, 39.533469801081594)	(46, 39.41051312523362)	(48, 39.47769583943449)	(50, 38.628505363204525)	(52, 38.78231423616914)	(54, 39.19819039436818)	(56, 39.07118576370219)	(58, 38.83203255645468)	(60, 38.553663297390685)	(62, 38.23884347350473)	(64, 37.88753139619337)	(66, 37.56010951922089)	(68, 37.18955387675848)	(70, 36.830797538725434)	(72, 36.47804706162968)	(74, 36.10650274448543)	(76, 35.80147581087408)	(78, 35.49606887620649)	(80, 35.210205747554575)	(82, 34.7973050776862)	(84, 34.70778576415396)	(86, 34.54217312625096)	(88, 34.38536959334483)	(90, 34.23931640183204)	(92, 34.11687921802245)	(94, 34.01106309169832)	(96, 33.92755698750602)	(98, 33.9455371992584)	(100, 34.167338239897674)
WH3A_094_R1	(1, 32.92316915309142)	(2, 33.17587658145308)	(3, 33.243984977336126)	(4, 36.58555866470458)	(5, 36.59571581447719)	(6, 36.61622965054811)	(7, 36.6176464511157)	(8, 36.62030576638019)	(9, 38.4746406947177)	(10, 38.473491669162215)	(12, 38.44664371567279)	(14, 40.09682331464624)	(16, 40.056353840299934)	(18, 40.02087220216839)	(20, 39.99068908259352)	(22, 39.94521929429115)	(24, 39.87678569895209)	(26, 39.80108795170765)	(28, 39.71686139993281)	(30, 39.59465406602631)	(32, 39.62203516791015)	(34, 39.564712088865136)	(36, 39.500943451413015)	(38, 39.62178213809988)	(40, 39.63160521982829)	(42, 39.53691153361906)	(44, 39.422488123336976)	(46, 39.3191357567522)	(48, 39.18460520426465)	(50, 39.00387507661065)	(52, 38.83087433277626)	(54, 38.630119281840244)	(56, 38.3959341346995)	(58, 38.13369846156158)	(60, 37.89404106008743)	(62, 37.60959786520605)	(64, 37.309486947477566)	(66, 36.90898143795101)	(68, 36.659687624441986)	(70, 36.3566485296659)	(72, 36.03244203351226)	(74, 35.71584997837192)	(76, 34.33018817775603)	(78, 35.13828953243622)	(80, 35.04107785144565)	(82, 34.8428421906513)	(84, 34.61426640541228)	(86, 34.39225506596298)	(88, 34.19185006263021)	(90, 34.026053107950446)	(92, 33.882425087934536)	(94, 33.768966005802554)	(96, 33.70232452270626)	(98, 33.73551873593235)	(100, 33.97073455731025)
WH3A_094_R2	(1, 29.832534757888883)	(2, 28.07577174159215)	(3, 30.435281202671792)	(4, 35.17571646385641)	(5, 35.80008181641566)	(6, 36.1819049137077)	(7, 36.36270499721465)	(8, 36.427281092116324)	(9, 38.29969645546278)	(10, 38.302135625803004)	(12, 38.286563377802395)	(14, 39.86481984019905)	(16, 39.855751728905105)	(18, 39.73614639315458)	(20, 39.762334716886755)	(22, 39.73407697988212)	(24, 39.69973321784043)	(26, 39.60203835308842)	(28, 39.509185643567015)	(30, 39.55929975452392)	(32, 39.523942437630076)	(34, 39.47083671439872)	(36, 39.38762856098637)	(38, 39.25057011202597)	(40, 39.160087703762855)	(42, 39.01396404156456)	(44, 38.85656946372009)	(46, 38.69713564727009)	(48, 38.64674098838738)	(50, 37.81205488005804)	(52, 38.014194718775855)	(54, 38.44967329784825)	(56, 38.343323321623046)	(58, 38.13812498725392)	(60, 37.895175742948865)	(62, 37.618464427435356)	(64, 37.33628407765073)	(66, 37.024428063272076)	(68, 36.70553640065732)	(70, 36.3888680166241)	(72, 36.08187519521627)	(74, 35.7678456790521)	(76, 35.44219564239705)	(78, 35.128572431007484)	(80, 34.84725521891593)	(82, 34.58024451542893)	(84, 34.340890403570405)	(86, 34.117574294886865)	(88, 33.915687915320945)	(90, 33.738489820309795)	(92, 33.5869976971188)	(94, 33.46216638813128)	(96, 33.32039042718419)	(98, 33.43056970146803)	(100, 33.79488830073392)
WH3B_093_R1	(1, 32.939979271258096)	(2, 33.19665966589624)	(3, 33.2476601872413)	(4, 36.59527738501033)	(5, 36.60418740908704)	(6, 36.6252608223391)	(7, 36.62351000443182)	(8, 36.627078078521706)	(9, 38.47671606808386)	(10, 38.47412238295074)	(12, 38.44749805179528)	(14, 40.09999904902077)	(16, 40.05803935699213)	(18, 40.022412743747054)	(20, 39.9934685443426)	(22, 39.9477768450365)	(24, 39.88039967963724)	(26, 39.80826179494334)	(28, 39.72668735632723)	(30, 39.60872764449739)	(32, 39.6421640874286)	(34, 39.591526240904145)	(36, 39.53673430864721)	(38, 39.66729454744983)	(40, 39.68748308103724)	(42, 39.60397681278137)	(44, 39.50372880260771)	(46, 39.410854659368354)	(48, 39.28250436603686)	(50, 39.10826752687298)	(52, 38.933761495450014)	(54, 38.72584205303129)	(56, 38.48034022389439)	(58, 38.20024437560918)	(60, 37.93614134052639)	(62, 37.62525565057531)	(64, 37.29517796208537)	(66, 36.85950850266626)	(68, 36.591364457190174)	(70, 36.26331023105148)	(72, 35.92152088154994)	(74, 35.598875708056156)	(76, 34.228081322533335)	(78, 35.021827240161855)	(80, 34.93259263775325)	(82, 34.74709716845281)	(84, 34.53268364516333)	(86, 34.329043153353346)	(88, 34.14496504695362)	(90, 33.991558352737215)	(92, 33.860462308784776)	(94, 33.755683338505094)	(96, 33.69447147570352)	(98, 33.728784187377826)	(100, 33.96103126217225)
WH3B_093_R2	(1, 29.823089619501484)	(2, 28.03218366457373)	(3, 30.407094513527223)	(4, 35.173878997402134)	(5, 35.806921930336735)	(6, 36.19752203470996)	(7, 36.37745918670693)	(8, 36.44425930311721)	(9, 38.31368565941551)	(10, 38.313120334828064)	(12, 38.296325572561145)	(14, 39.87968966290782)	(16, 39.8681778247796)	(18, 39.73871587580368)	(20, 39.770114344179966)	(22, 39.74423007027606)	(24, 39.71145464910299)	(26, 39.61790524547119)	(28, 39.52683985170977)	(30, 39.5800647265127)	(32, 39.55239416187334)	(34, 39.50435562819474)	(36, 39.43006397094016)	(38, 39.305893543997385)	(40, 39.22468640482691)	(42, 39.086079162116945)	(44, 38.94236667205989)	(46, 38.79368532852685)	(48, 38.74582316892857)	(50, 37.91613762258839)	(52, 38.120696187146464)	(54, 38.55505519717968)	(56, 38.439839060442935)	(58, 38.217073294965886)	(60, 37.947589892940584)	(62, 37.643973227719925)	(64, 37.32970907330591)	(66, 36.988802362805615)	(68, 36.64512318307601)	(70, 36.301370908216434)	(72, 35.97490858223586)	(74, 35.65321225153062)	(76, 35.32403340777026)	(78, 35.010711530479924)	(80, 34.742194987740184)	(82, 34.488259236418386)	(84, 34.262886433017584)	(86, 34.05683481803338)	(88, 33.86999321808507)	(90, 33.7044572917831)	(92, 33.56403433008984)	(94, 33.44646931372388)	(96, 33.30375287671218)	(98, 33.41696406262498)	(100, 33.7838471991782)
