"name"	"taxRank"	"taxID"	"Max"	"X5089.cladeReads"	"X5090.cladeReads"	"X5091.cladeReads"	"X5092.cladeReads"	"X5093.cladeReads"	"X5094.cladeReads"	"X5101.cladeReads"	"X5102.cladeReads"	"X5103.cladeReads"	"X5104.cladeReads"	"X5105.cladeReads"	"X5106.cladeReads"	"lineage"
"Bacteroides uniformis"	"S"	820	2186300	325421	643962	204355	66049	1887923	1166565	639735	658765	1824036	2186327	627228	418922	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides cellulosilyticus"	"S"	246787	767490	226412	245796	51974	8077	1112	726	91201	63224	7206	8372	767490	8283	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caccae"	"S"	47678	1382400	190153	193815	2571	1915	729037	1382426	25751	2950	1349156	876258	32556	561890	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides faecis"	"S"	674529	317410	71183	317409	7340	5572	6869	10638	31241	20958	10839	9383	1841	5176	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides ovatus"	"S"	28116	741750	20568	233318	18187	11522	222640	127796	424879	741752	23888	19843	10881	173192	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides finegoldii"	"S"	338188	19370	19370	5838	7719	2515	1681	2939	618	639	588	430	4797	10510	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides thetaiotaomicron"	"S"	818	661260	16397	318010	369217	33751	268238	554617	121038	290754	36595	47446	640787	661259	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides sp. CACC 737"	"S"	2755405	17438	4559	2406	410	386	2960	3167	6204	5996	462	362	14675	17438	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. DH3716P"	"S"	2847299	12675	3849	12675	951	925	9913	7763	764	1297	816	1589	400	1578	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. HF-162"	"S"	2785531	20373	2274	4726	1314	256	10454	8395	4768	5082	5221	7445	4290	20373	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. A1C1"	"S"	2528203	20307	1145	2765	569	199	20307	5387	2956	3002	1725	2053	4366	7212	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. M10"	"S"	2763022	6679	451	6679	745	605	4017	2795	3990	4983	501	241	798	2729	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. D2"	"S"	556259	24106	434	4869	874	305	2402	1796	15285	24106	181	91	602	2551	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KFT8"	"S"	2025659	6510	420	2592	1368	395	2299	3269	3482	6510	2080	2200	1401	1423	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. ZJ-18"	"S"	2709390	581	401	581	17	6	NA	1	2	NA	1	2	69	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. CG01"	"S"	3096000	1028	221	1028	171	31	342	578	207	183	70	53	949	160	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KG122"	"S"	3397827	193	19	31	18	1	145	117	19	42	91	193	49	48	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KG123"	"S"	3369153	15	15	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. PHL 2737"	"S"	2162637	28	15	28	4	2	1	6	NA	NA	NA	1	NA	17	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. BFG-257"	"S"	2972761	192	13	25	4	3	NA	NA	140	99	192	125	41	36	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides zoogleoformans"	"S"	28119	12918	12918	3890	256	183	332	169	902	775	173	234	286	322	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides xylanisolvens"	"S"	371601	608600	11300	36686	66828	67212	93645	90546	40349	60691	608605	325025	82698	52614	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides fragilis"	"S"	817	237760	8081	11648	3144	1627	40061	24010	132498	237760	21112	21394	76444	6130	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides zhangwenhongii"	"S"	2650157	11361	6269	4093	9011	3057	5996	5925	1186	1463	3836	2596	5970	11361	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides stercoris"	"S"	46506	281530	4305	4605	5833	1319	4738	6185	105259	12042	22700	24065	16594	281529	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides difficilis"	"S"	2763021	7340	3404	1941	5732	2080	386	272	704	973	297	183	3260	7340	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides pyogenes"	"S"	310300	3052	3052	2434	897	420	1661	1596	928	1551	1110	1480	1070	1122	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides maternus"	"S"	3117552	98863	2805	7453	563	148	545	686	98863	67674	258	189	3012	7629	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides humanifaecis"	"S"	2792859	26240	2780	4441	270	219	9166	6095	4175	4694	7840	11956	4932	26240	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides faecium"	"S"	2715212	34841	2750	34841	662	371	3008	4999	979	1322	2817	1934	1950	1736	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides intestinalis"	"S"	329854	1313500	1708	3982	521	149	11599	6852	1313479	873407	196	50	4057	258561	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides salyersiae"	"S"	291644	523270	1693	2593	2156	1992	329195	324907	6138	12869	424776	523273	196641	4899	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides hominis"	"S"	2763023	11642	1392	3000	1267	770	5061	11642	7345	10510	2020	1520	3612	3388	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides nordii"	"S"	291645	11788	954	10537	1562	895	966	1150	866	1896	1269	1020	11788	351	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides eggerthii"	"S"	28111	152380	786	958	2370	356	2821	1277	4796	4189	4592	5400	152383	7066	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caecimuris"	"S"	1796613	11141	745	5092	1467	584	4186	4010	6567	5686	6555	11141	1780	2440	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"uncultured Bacteroides sp."	"S"	162156	774	447	774	89	76	316	151	64	50	6	56	187	80	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>environmental&nbsp;samples"
"Bacteroides graminisolvens"	"S"	477666	982	296	982	128	50	381	251	243	267	94	85	100	113	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides luhongzhouii"	"S"	2650158	6462	283	2192	1650	587	3456	3183	2637	3577	6462	3751	2543	2181	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides helcogenes"	"S"	290053	1069	279	791	511	315	848	400	936	789	139	246	1069	172	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides sedimenti"	"S"	2136147	669	200	669	292	154	481	314	220	286	123	95	170	137	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Prevotella heparinolytica"	"S"	28113	338	98	230	279	84	338	110	228	223	19	22	153	299	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Phocaeicola dorei"	"S"	357276	5826000	271810	59776	5579	2868	123243	101162	865572	2627462	5825951	5027937	62063	601264	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola vulgatus"	"S"	821	2776000	21274	11887	104667	75439	2776028	2609413	909853	776233	172189	142477	2171958	402044	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola coprophilus"	"S"	387090	23501	11049	23501	1929	2306	16305	6790	1757	1809	513	537	1921	3392	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Phocaeicola salanitronis"	"S"	376805	7404	4613	7404	2451	1211	5435	2884	699	1392	3423	3724	3318	2302	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Phocaeicola"
"Parabacteroides merdae"	"S"	46503	731430	731428	98158	96883	48216	164699	372935	16856	869	7345	5034	106609	160459	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides absconsus"	"S"	2951805	187400	187405	134391	893	320	3037	1907	4869	1379	92	78	249	571	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides goldsteinii"	"S"	328812	465930	59019	465927	547	481	2651	3077	2870	2167	6707	9999	4342	798	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides distasonis"	"S"	823	550590	54569	78178	181277	80215	22916	25243	45654	105880	8791	11014	138844	550588	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides johnsonii"	"S"	387661	8118	1811	1332	305	108	7812	8118	610	239	244	173	952	1182	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides sp. ASD2025"	"S"	3415987	4244	629	568	766	388	432	651	515	676	796	629	899	4244	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides>unclassified&nbsp;Parabacteroides"
"Parabacteroides sp. CT06"	"S"	2025876	2687	265	1901	66	8	2687	2630	1017	1082	20	27	417	353	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides>unclassified&nbsp;Parabacteroides"
"Parabacteroides chongii"	"S"	2685834	5954	255	1122	945	5954	569	643	15	21	1184	1408	252	519	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Parabacteroides faecis"	"S"	1217282	1293	145	892	109	241	52	33	67	33	1293	1137	170	220	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Parabacteroides"
"Tannerella serpentiformis"	"S"	712710	174	174	53	42	25	3	16	3	3	1	NA	7	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Tannerella"
"Tannerella forsythia"	"S"	28112	298	118	298	15	25	71	33	10	6	4	6	1	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Tannerellaceae>Tannerella"
"Alistipes putredinis"	"S"	28117	277710	203731	161554	2438	1235	255269	277714	1603	2324	5071	2292	23106	3924	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes shahii"	"S"	328814	217010	54890	161978	21382	15376	44033	217014	28530	27863	25519	39117	12270	3316	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes communis"	"S"	2585118	86134	29898	20486	13347	1326	62651	86134	10358	7335	2206	2319	4085	21635	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes onderdonkii"	"S"	328813	1297000	8756	13912	9806	3193	234912	1297033	46196	98398	1198	1658	2890	867	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes finegoldii"	"S"	214856	57733	7272	21259	8341	4866	11238	57733	2977	6971	45769	45038	2364	1349	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"uncultured Alistipes sp."	"S"	538949	20497	5279	2963	1732	1995	1135	7667	17622	20497	365	313	264	2831	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>environmental&nbsp;samples"
"Alistipes megaguti"	"S"	2364787	4766	1811	1286	1826	2309	694	3189	3160	4766	77	131	282	748	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes dispar"	"S"	2585119	9428	1607	565	942	102	1418	6873	2563	9428	855	579	121	2610	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes senegalensis"	"S"	1288121	6523	802	1438	5790	6523	1172	3671	342	561	672	1265	2446	1852	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes sp. i18-0019-D1"	"S"	3132707	29590	612	1206	359	425	926	4744	1069	1920	383	555	150	29590	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>unclassified&nbsp;Alistipes"
"Alistipes sp. dk3624"	"S"	2662363	2757	126	2757	245	77	177	493	116	68	62	32	20	134	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes>unclassified&nbsp;Alistipes"
"Alistipes ihumii"	"S"	1470347	60041	506	326	6679	1210	22024	60041	5847	4019	828	1477	91	8131	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"Alistipes indistinctus"	"S"	626932	30917	66	221	2940	4304	1892	30917	5145	2513	1	1	1695	66	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Alistipes"
"uncultured Acetobacteroides sp."	"S"	1760811	97	18	55	22	36	36	14	NA	NA	NA	NA	97	94	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Rikenellaceae>Acetobacteroides>environmental&nbsp;samples"
"Odoribacter splanchnicus"	"S"	28118	257100	230313	257100	243978	83735	117325	43288	62582	144877	79	67	59026	169276	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae>Odoribacter"
"Butyricimonas virosa"	"S"	544645	41563	25160	41563	4780	2154	498	929	7208	7386	4	4	17420	157	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae>Butyricimonas"
"Butyricimonas paravirosa"	"S"	1472417	132780	9022	30569	1272	802	62938	132776	55373	124613	27	13	1586	74774	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae>Butyricimonas"
"Butyricimonas faecalis"	"S"	2093856	113530	2078	2189	113528	51481	2390	2755	856	1397	167	330	64492	1721	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae>Butyricimonas"
"Butyricimonas faecihominis"	"S"	1472416	5471	1838	4801	879	1304	1141	2330	880	1787	4799	5471	736	3712	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Odoribacteraceae>Butyricimonas"
"Barnesiella intestinihominis"	"S"	487174	602740	211528	212343	34029	344	96343	229333	104334	102731	18	21	5148	602737	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae>Barnesiella"
"Barnesiella viscericola"	"S"	397865	3884	3884	3835	462	181	2802	2325	357	481	2080	1536	349	1266	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae>Barnesiella"
"Barnesiella sp. An22"	"S"	1965590	8241	2951	2377	297	449	8241	7912	3182	4319	270	165	2049	1570	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae>Barnesiella>unclassified&nbsp;Barnesiella"
"Coprobacter fastidiosus"	"S"	1099853	163590	12459	47642	99	59	2447	163591	22577	30484	434	580	5784	54180	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae>Coprobacter"
"Coprobacter secundus"	"S"	1501392	49718	11525	2289	3337	2621	34585	49718	1175	1728	2098	1716	1229	14864	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Barnesiellaceae>Coprobacter"
"Segatella copri"	"S"	165179	10768000	34203	9111	8627884	10768298	1017	947	613	1118	1772	1292	22719	1231	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae>Segatella"
"Segatella oris"	"S"	28135	646	646	183	594	429	76	2	13	7	3	4	129	8	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Prevotellaceae>Segatella"
