"name"	"taxRank"	"taxID"	"Max"	"X5089.cladeReads"	"X5090.cladeReads"	"X5091.cladeReads"	"X5092.cladeReads"	"X5093.cladeReads"	"X5094.cladeReads"	"X5101.cladeReads"	"X5102.cladeReads"	"X5103.cladeReads"	"X5104.cladeReads"	"X5105.cladeReads"	"X5106.cladeReads"	"lineage"
"Aminomonas paucivorans"	"S"	81412	19	1	NA	2	14	1	19	NA	1	1	1	4	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Synergistaceae>Aminomonas"
"Pyramidobacter piscolens"	"S"	638849	58	30	31	8	6	8	16	5	5	58	9	4	4	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Dethiosulfovibrionaceae>Pyramidobacter"
"Pyramidobacter sp. YE332"	"S"	3068894	18	6	18	7	14	1	NA	7	8	13	NA	4	8	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Dethiosulfovibrionaceae>Pyramidobacter>unclassified&nbsp;Pyramidobacter"
"Jonquetella anthropi"	"S"	428712	43	18	2	17	2	16	43	7	4	3	1	2	5	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Dethiosulfovibrionaceae>Jonquetella"
"Aminobacterium sp. MB27-C1"	"S"	3070661	50	18	50	1	NA	8	1	3	NA	6	15	6	7	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Aminobacteriaceae>Aminobacterium>unclassified&nbsp;Aminobacterium"
"Fretibacterium fastidiosum"	"S"	651822	9	7	8	9	1	3	5	NA	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Thermotogati>Synergistota>Synergistia>Synergistales>Aminobacteriaceae>Fretibacterium"
"Fervidobacterium pennivorans"	"S"	93466	10	10	4	NA	NA	7	NA	1	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Thermotogales>Fervidobacteriaceae>Fervidobacterium"
"Thermosipho ferrireducens"	"S"	2571116	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	9	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Thermotogales>Fervidobacteriaceae>Thermosipho"
"Thermosipho africanus"	"S"	2421	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Thermotogales>Fervidobacteriaceae>Thermosipho"
"Pseudothermotoga hypogea"	"S"	57487	1	1	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Thermotogales>Thermotogaceae>Pseudothermotoga"
"Thermotoga profunda"	"S"	1508420	5	1	NA	4	2	NA	1	4	2	5	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Thermotogales>Thermotogaceae>Thermotoga"
"Marinitoga aeolica"	"S"	2809031	9	9	6	NA	NA	NA	1	2	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Petrotogales>Petrotogaceae>Marinitoga"
