"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Bacteroides uniformis"	"S"	820	4100300	645345	1252456	419883	136096	4100273	2568146	1235049	1200818	3351987	3994423	1062132	418922	21.86	6.072	13.42	2.809	0.8523	20.71	13.76	9.919	6.63	15.93	21.86	9.427	5.712	1	4	1	4	9	2	2	5	4	2	2	3	6	2.435	-0.4836	0.02916	-0.6741	-0.9138	2.435	1.14	0.01446	-0.01446	1.803	2.345	-0.1316	-0.6749	2.043	-0.6036	0.6281	-1.151	-1.478	1.85	0.6851	0.04123	-0.5101	1.049	2.043	-0.04123	-0.6639	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides cellulosilyticus"	"S"	246787	1152500	342438	396143	90238	13670	2009	1290	148951	102358	11768	13491	1152512	8283	10.23	3.222	4.245	0.6038	0.0856	0.01015	0.00691	1.196	0.5652	0.05593	0.07384	10.23	0.1129	2	7	6	17	38	161	177	10	17	60	49	2	59	14.79	3.905	4.627	0.5146	-0.5146	-0.6714	-0.6811	1.304	0.6776	-0.5402	-0.5171	14.79	-0.5871	21.8	6.354	8.609	0.5835	-0.5586	-0.7249	-0.7321	1.889	0.4985	-0.624	-0.5846	21.8	-0.4985	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides caccae"	"S"	47678	1922100	240893	231455	5426	4368	1125834	1922070	30077	3606	1527349	995019	36261	561890	10.3	2.267	2.48	0.03631	0.02735	5.687	10.3	0.2416	0.01991	7.259	5.446	0.3218	7.661	3	12	11	76	69	3	3	45	102	4	3	33	4	4.897	0.01371	-0.01371	-0.6703	-0.6734	2.584	4.897	-0.5987	-0.6756	3.751	2.204	-0.5807	0.9462	2.275	-0.03057	0.03057	-0.6709	-0.6734	0.9511	2.275	-0.6119	-0.6756	1.402	0.8819	-0.5889	1.518	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides sp. CACC 737"	"S"	2755405	68791	21356	13200	2592	2438	20754	21446	35690	33959	2636	2020	68791	17438	0.6105	0.2009	0.1414	0.01734	0.01527	0.1048	0.1149	0.2866	0.1875	0.01253	0.01106	0.6105	0.2378	22	51	62	106	104	71	69	41	36	115	110	22	45	2.14	0.09733	-0.2539	-0.7108	-0.7174	0.0714	0.1012	0.7147	0.6401	-0.7089	-0.7354	2.14	-0.0714	2.951	0.4452	0.08108	-0.678	-0.6907	-0.1429	-0.08108	0.9695	0.3632	-0.7075	-0.7165	2.951	0.6709	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. DH3716P"	"S"	2847299	168150	40950	160210	14450	13299	168148	126806	10277	17166	10987	20758	4327	1578	1.717	0.3853	1.717	0.09669	0.08328	0.8493	0.6793	0.08254	0.09478	0.05222	0.1136	0.0384	0.02152	16	38	16	47	39	21	23	70	48	64	40	94	134	12.08	1.994	11.45	-0.1077	-0.199	12.08	8.802	-0.4386	0.1077	-0.3823	0.3925	-0.9104	-1.128	21.69	3.873	21.69	0.01277	-0.1666	10.08	7.806	-0.1765	-0.01277	-0.5821	0.239	-0.7669	-0.9927	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. HF-162"	"S"	2785531	138050	20229	48194	15753	3074	138048	106840	50329	52147	55472	77510	36866	20373	0.6973	0.1903	0.5164	0.1054	0.01925	0.6973	0.5723	0.4042	0.2879	0.2636	0.4243	0.3272	0.2778	18	53	33	42	89	24	26	33	27	26	18	32	42	2.096	-0.6854	-0.0252	-0.7911	-1.09	2.096	1.359	0.0252	0.06813	0.1466	0.6669	-0.2927	-0.682	2.247	-0.6759	1.204	-1.165	-1.662	2.247	1.526	0.5572	-0.1133	-0.2534	0.673	0.1133	-0.1715	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. A1C1"	"S"	2528203	178180	6456	18293	4433	1551	178184	45494	21020	20971	12248	14262	25148	7212	0.9	0.06075	0.196	0.02966	0.009713	0.9	0.2437	0.1688	0.1158	0.05821	0.07806	0.2232	0.09834	19	96	52	84	122	19	51	48	43	57	47	48	68	12.18	-0.7387	0.1516	-0.8908	-1.108	12.18	2.197	0.3567	0.353	-0.3031	-0.1516	0.6672	-0.6818	7.688	-0.4491	0.8622	-0.7505	-0.9439	7.688	1.325	0.5985	0.08464	-0.4737	-0.2813	1.126	-0.08464	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. M10"	"S"	2763022	13333	815	13333	1614	1453	9296	6311	8247	10172	1016	482	1440	2729	0.1429	0.007668	0.1429	0.0108	0.009099	0.04695	0.03381	0.06623	0.05617	0.004829	0.002638	0.01278	0.03721	61	201	61	127	125	96	109	78	63	151	169	149	109	4.943	-0.6008	4.943	-0.2469	-0.3182	3.155	1.833	2.691	3.543	-0.5117	-0.7482	-0.324	0.2469	4.732	-0.6183	4.732	-0.4944	-0.5617	0.936	0.4161	1.699	1.301	-0.7307	-0.8173	-0.4161	0.5506	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. D2"	"S"	556259	67908	964	12563	2566	987	7883	5697	43378	67908	502	247	1427	2551	0.375	0.00907	0.1346	0.01717	0.006181	0.03982	0.03052	0.3484	0.375	0.002386	0.001352	0.01267	0.03478	22	186	65	107	153	104	115	36	22	186	214	150.5	112	20.18	-0.4924	3.09	0.002316	-0.4853	1.644	0.9693	12.61	20.18	-0.6351	-0.7139	-0.3494	-0.002316	14.08	-0.5925	4.441	-0.2677	-0.7084	0.6406	0.2677	13.02	14.08	-0.8605	-0.902	-0.4481	0.4385	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KFT8"	"S"	2025659	17180	884	6304	3780	1146	7052	9717	9232	17180	5419	5609	3142	1423	0.09486	0.008318	0.06755	0.02529	0.007176	0.03562	0.05205	0.07414	0.09486	0.02575	0.0307	0.02789	0.0194	47	192.5	88	90	141	109	90	73	47	87	65	109	138	2.584	-1.026	0.175	-0.3841	-0.9675	0.3407	0.931	0.8236	2.584	-0.02104	0.02104	-0.5254	-0.9062	2.865	-0.9166	1.672	-0.175	-0.9665	0.2764	0.9943	1.96	2.865	-0.1549	0.06139	-0.06139	-0.4324	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. ZJ-18"	"S"	2709390	5878	3220	5878	211	68	NA	NA	NA	NA	NA	NA	626	2	0.06298	0.0303	0.06298	0.001412	0.0004258	NA	NA	NA	NA	NA	NA	0.005556	2.727e-05	90	123	90	259.5	480.5	NA	NA	NA	NA	NA	NA	187	1899.5	3964	2171	3964	141.6	45.19	NA	NA	NA	NA	NA	NA	421.6	0.6745	62.97	30.29	62.97	1.398	0.4122	NA	NA	NA	NA	NA	NA	5.542	0.01364	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. CG01"	"S"	3096000	1355	277	1355	235	41	484	810	275	243	92	69	1191	160	0.01452	0.002606	0.01452	0.001572	0.0002567	0.002445	0.004339	0.002209	0.001342	0.0004372	0.0003777	0.01057	0.002182	154	277	154	250.5	596	246	203	224	220	322	334	158	237.5	4.141	0.06802	4.141	-0.09069	-0.8237	0.8502	2.082	0.06046	-0.06046	-0.631	-0.7179	3.522	-0.3741	6.366	0.212	6.366	-0.322	-1.001	0.1289	1.107	0.006973	-0.4408	-0.9082	-0.9389	4.325	-0.006973	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KG122"	"S"	3397827	123080	13348	29252	15271	NA	118070	87578	19522	38278	57743	123078	25334	48	0.6737	0.1256	0.3134	0.1022	NA	0.5964	0.4691	0.1568	0.2114	0.2744	0.6737	0.2248	0.0006545	12	72	43	43	NA	29	29	49	35	24	12	47	351	3.137	-0.4567	0.06416	-0.3937	NA	2.973	1.974	-0.2545	0.3598	0.9972	3.137	-0.06416	-0.8923	2.91	-0.5908	0.6087	-0.7403	NA	2.416	1.603	-0.3915	-0.04279	0.3596	2.91	0.04279	-1.389	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. PHL 2737"	"S"	2162637	11174	5123	11174	NA	NA	NA	2923	NA	NA	NA	NA	NA	17	0.1197	0.0482	0.1197	NA	NA	NA	0.01566	NA	NA	NA	NA	NA	0.0002318	71	110	71	NA	NA	NA	147	NA	NA	NA	NA	NA	549	11170	5123	11170	NA	NA	NA	2923	NA	NA	NA	NA	NA	17	119.7	48.2	119.7	NA	NA	NA	15.66	NA	NA	NA	NA	NA	0.2318	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. KG123"	"S"	3369153	1145	1145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01077	0.01077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1145	1145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.77	10.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides sp. BFG-257"	"S"	2972761	16915	803	1959	NA	NA	NA	NA	12427	8757	16915	10590	2824	36	0.09981	0.007556	0.02099	NA	NA	NA	NA	0.09981	0.04835	0.08039	0.05796	0.02506	0.0004909	50	203	138	NA	NA	NA	NA	63	65	50	54	113	404.5	7.587	-0.2823	0.2823	NA	NA	NA	NA	5.395	3.602	7.587	4.498	0.7048	-0.6569	4.042	-0.3174	0.3174	NA	NA	NA	NA	4.042	1.61	3.124	2.064	0.5098	-0.6513	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>unclassified&nbsp;Bacteroides"
"Bacteroides faecis"	"S"	674529	417670	92918	417669	9862	7541	9108	14040	39336	25903	13751	11894	2246	5176	4.475	0.8743	4.475	0.06599	0.04722	0.046	0.07521	0.3159	0.143	0.06535	0.0651	0.01993	0.07058	5	27	5	56	48	97	79	38	40	54	52	122	81	42.24	8.358	42.24	-0.3089	-0.5511	-0.3876	0.127	2.767	1.365	0.09689	-0.09689	-1.104	-0.7979	137.1	25.08	137.1	-0.07142	-0.6555	-0.6935	0.2155	7.705	2.325	-0.09133	-0.09911	-1.505	0.07142	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides ovatus"	"S"	28116	2926100	69543	897286	87405	48923	1060770	591360	1707975	2926086	107873	93025	38934	173192	16.16	0.6543	9.615	0.5848	0.3064	5.358	3.168	13.72	16.16	0.5127	0.5092	0.3456	2.362	1	31	2	18	19	4	6	1	3	18	16	30	11	19.45	-0.4956	5.284	-0.3709	-0.6396	6.425	3.148	10.94	19.45	-0.228	-0.3317	-0.7094	0.228	8.36	-0.4872	4.625	-0.5268	-0.6857	2.197	0.947	6.968	8.36	-0.568	-0.57	-0.6633	0.4872	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides finegoldii"	"S"	338188	37989	37989	12461	18276	5777	4215	7205	1347	1373	1285	924	9298	10510	0.3574	0.3574	0.1335	0.1223	0.03618	0.02129	0.03859	0.01082	0.007581	0.006107	0.005058	0.08252	0.1433	37	40	66	37	56	132	105	147	143	143	144	67	56	4.141	4.141	0.7848	1.549	-0.09386	-0.2992	0.09386	-0.6762	-0.6728	-0.6843	-0.7318	0.369	0.5283	6.787	6.787	2.038	1.801	-0.02556	-0.3414	0.02556	-0.5634	-0.6321	-0.6634	-0.6856	0.9573	2.246	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides thetaiotaomicron"	"S"	818	741230	19834	386764	456657	42027	330622	680769	143395	339348	43717	57630	741229	661259	9.016	0.1866	4.144	3.056	0.2632	1.67	3.647	1.152	1.874	0.2078	0.3154	6.579	9.016	1	56	7	3	21	8	5	13	9	32	23	4	1	0.9638	-0.7477	0.1228	0.2887	-0.695	-0.01035	0.8203	-0.4545	0.01035	-0.691	-0.658	0.9638	0.774	3.18	-0.696	1.041	0.5636	-0.6623	-0.04478	0.8231	-0.2722	0.04478	-0.6867	-0.6394	2.11	3.18	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides zoogleoformans"	"S"	28119	15250	15250	4673	309	220	396	201	1044	890	199	269	322	322	0.1435	0.1435	0.05007	0.002068	0.001378	0.002	0.001077	0.008385	0.004914	0.0009457	0.001472	0.002858	0.004391	65	65	99	231	300.5	256	298	165	160	255	207	226	199	90.3	90.3	26.32	-0.07864	-0.617	0.4476	-0.732	4.368	3.436	-0.7441	-0.3206	NA	NA	65.53	65.53	22.12	-0.1835	-0.5041	-0.2151	-0.644	2.752	1.139	-0.705	-0.4605	0.1835	0.8958	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides xylanisolvens"	"S"	371601	1582900	44684	135298	190598	184577	297379	281051	102767	151924	1582943	842526	187374	52614	7.523	0.4204	1.45	1.275	1.156	1.502	1.505	0.8254	0.8389	7.523	4.612	1.663	0.7174	3	37	20	8	6	10	11	19	13	3	4	11	26	10.57	-1.069	-0.3835	0.03498	-0.01058	0.8429	0.7194	-0.6296	-0.2576	10.57	4.968	0.01058	-1.009	10.08	-1.542	0.1432	-0.1432	-0.338	0.2283	0.2333	-0.8792	-0.8571	10.08	5.319	0.4919	-1.056	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides fragilis"	"S"	817	425640	17274	32698	6566	3520	86078	51287	242474	425639	38552	38618	125704	6130	2.35	0.1625	0.3504	0.04393	0.02204	0.4348	0.2747	1.947	2.35	0.1832	0.2114	1.116	0.08358	7	62	40	69	80	35	47	8	7	34	29	15	73	8.098	-0.4459	-0.1232	-0.6699	-0.7337	0.9937	0.2658	4.266	8.098	-0.0006905	0.0006905	1.823	-0.6791	8.092	-0.3094	0.4123	-0.7648	-0.8489	0.7365	0.1216	6.545	8.092	-0.2299	-0.1216	3.353	-0.6125	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides zhangwenhongii"	"S"	2650157	22665	13399	9412	22665	7546	15698	15195	2686	3248	8731	5834	12066	11361	0.1549	0.1261	0.1009	0.1517	0.04725	0.07929	0.08139	0.02157	0.01793	0.04149	0.03193	0.1071	0.1549	34	71	76	34	47	76	77	125	105	73	62	60	55	2.189	0.5372	-0.1738	2.189	-0.5065	0.9471	0.8574	-1.373	-1.273	-0.2952	-0.8118	0.2995	0.1738	1.189	0.7296	0.3278	1.138	-0.5276	-0.01674	0.01674	-0.937	-0.995	-0.6194	-0.7718	0.4266	1.189	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides stercoris"	"S"	46506	281530	6129	6586	8248	2031	6592	8625	129528	14617	27793	29948	20173	281529	3.839	0.05767	0.07057	0.05519	0.01272	0.0333	0.0462	1.04	0.08071	0.1321	0.1639	0.179	3.839	8	100	84	61	112	111	96	15	52	42	34	52	8	25.93	-0.5275	-0.4836	-0.324	-0.9212	-0.4831	-0.2878	11.33	0.2878	1.553	1.76	0.8215	25.93	51.38	-0.2454	-0.06922	-0.2792	-0.8591	-0.5781	-0.402	13.17	0.06922	0.7709	1.205	1.411	51.38	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides difficilis"	"S"	2763021	14715	7106	4497	14715	5145	1060	729	1668	2282	703	426	6769	7340	0.1001	0.06686	0.04819	0.09846	0.03222	0.005354	0.003905	0.0134	0.0126	0.003341	0.002332	0.06008	0.1001	46	93	103	46	58	195	212	141	120	168	179	77	66	2.857	0.9376	0.2794	2.857	0.4429	-0.5877	-0.6712	-0.4343	-0.2794	-0.6778	-0.7477	0.8526	0.9967	2.61	1.488	0.8571	2.555	0.3178	-0.5895	-0.6384	-0.3178	-0.3448	-0.6575	-0.6915	1.259	2.61	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides pyogenes"	"S"	310300	3356	3356	2665	979	462	1778	1709	983	1626	1181	1579	1127	1122	0.03158	0.03158	0.02856	0.006551	0.002893	0.008981	0.009155	0.007895	0.008978	0.005613	0.008643	0.01	0.0153	118	121	126	154.5	209	165	163	168	136	147	118	159	151	3.672	3.672	2.388	-0.7451	-1.706	0.7395	0.6113	-0.7377	0.4571	-0.3698	0.3698	-0.4701	-0.4794	8.679	8.679	7.519	-0.9325	-2.337	0.000576	0.06739	-0.4164	-0.000576	-1.293	-0.1292	0.3919	2.427	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides maternus"	"S"	3117552	148000	3880	10891	879	226	890	1103	147996	100571	387	280	4190	7629	1.189	0.03651	0.1167	0.005881	0.001415	0.004495	0.005908	1.189	0.5553	0.001839	0.001533	0.03719	0.104	11	118	72	161	294	208	182	11	18	204	203.5	96	65	45.48	0.434	2.625	-0.504	-0.7081	-0.5006	-0.434	45.48	30.66	-0.6578	-0.6912	0.5309	1.606	40.35	0.5286	3.299	-0.5296	-0.6839	-0.5774	-0.5286	40.35	18.45	-0.6692	-0.6798	0.5521	2.86	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides humanifaecis"	"S"	2792859	110250	21132	39995	2854	2194	108091	69313	39564	43762	74200	110254	37645	26240	0.6035	0.1988	0.4286	0.0191	0.01374	0.546	0.3713	0.3178	0.2416	0.3526	0.6035	0.3341	0.3578	13	52	36	99	108	31	37	37	31	22	13	31	37	1.973	-0.5221	0.006034	-1.034	-1.052	1.913	0.8269	-0.006034	0.1115	0.9637	1.973	-0.05976	-0.3791	1.877	-1.043	0.615	-2.339	-2.378	1.462	0.2016	-0.1843	-0.734	0.06673	1.877	-0.06673	0.1042	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides faecium"	"S"	2715212	37562	2929	37562	722	403	3315	5489	1059	1426	3054	2094	2074	1736	0.4025	0.02756	0.4025	0.004831	0.002524	0.01674	0.0294	0.008505	0.007874	0.01451	0.01146	0.01841	0.02367	38	130	38	178	222	139	117	164	142	107	106	131	129	23.99	0.5714	23.99	-0.921	-1.137	0.8324	2.302	-0.6931	-0.4449	0.6559	0.006762	-0.006762	-0.2353	33.04	1.019	33.04	-0.9218	-1.119	0.09522	1.176	-0.608	-0.6619	-0.09522	-0.3557	0.2378	0.687	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides intestinalis"	"S"	329854	1529200	1932	4606	619	175	14009	8221	1529193	1012794	228	58	4582	258561	12.28	0.01818	0.04935	0.004142	0.001096	0.07076	0.04404	12.28	5.592	0.001084	0.0003175	0.04067	3.526	2	144	100	191	335.5	82	100	2	6	243	350.5	90	9	234.1	-0.4088	0.001843	-0.6104	-0.6786	1.446	0.5569	234.1	154.8	-0.6704	-0.6965	-0.001843	39	207.7	-0.4104	0.1187	-0.6486	-0.7003	0.4822	0.0286	207.7	94.2	-0.7005	-0.7136	-0.0286	59.13	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides salyersiae"	"S"	291644	560140	1886	2885	2384	2219	355112	351085	6549	13595	454159	560145	208424	4899	3.066	0.01775	0.03091	0.01595	0.0139	1.794	1.881	0.0526	0.07507	2.158	3.066	1.85	0.0668	5	145	116	112	106	7	9	84	56	7	5	9	84	46.26	-0.6885	-0.6045	-0.6466	-0.6605	29.02	28.68	-0.2963	0.2963	37.35	46.26	16.68	-0.4351	36.07	-0.6405	-0.482	-0.6621	-0.6868	20.75	21.8	-0.2208	0.0498	25.13	36.07	21.42	-0.0498	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
"Bacteroides hominis"	"S"	2763023	122010	9488	24443	12271	7005	55061	122008	64202	90693	17657	12924	25440	3388	0.6536	0.08927	0.2619	0.08211	0.04387	0.2781	0.6536	0.5156	0.5008	0.08391	0.07074	0.2258	0.0462	20	85	45	52	50	48	24	28	20	48	50	46	97	5.318	-0.6091	0.1787	-0.4625	-0.7399	1.792	5.318	2.273	3.669	-0.1787	-0.4281	0.2313	-0.9304	3.102	-0.4269	0.6527	-0.4717	-0.7109	0.754	3.102	2.239	2.147	-0.4604	-0.5428	0.4269	-0.6963	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides"
