"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Corynebacterium ciconiae"	"S"	227319	68	19	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	NA	0.0003435	0.0001788	NA	NA	NA	0.0003435	NA	NA	NA	NA	NA	NA	NA	465.5	912.5	NA	NA	NA	465.5	NA	NA	NA	NA	NA	NA	NA	68	19	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	NA	0.3435	0.1788	NA	NA	NA	0.3435	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium suranareeae"	"S"	2506452	34	11	34	17	21	NA	NA	NA	NA	NA	NA	NA	3	0.0003643	0.0001035	0.0003643	0.0001137	0.0001315	NA	NA	NA	NA	NA	NA	NA	4.091e-05	578.5	1190.5	578.5	872.5	776	NA	NA	NA	NA	NA	NA	NA	1465	34	11	34	17	21	NA	NA	NA	NA	NA	NA	NA	3	0.3643	0.1035	0.3643	0.1137	0.1315	NA	NA	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium ihumii"	"S"	1232427	30	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002823	0.0002823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	686.5	686.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2823	0.2823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium choanae"	"S"	1862358	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.705e-05	4.705e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1623	1623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04705	0.04705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Mycobacterium heckeshornense"	"S"	110505	43	43	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004046	0.0004046	8.572e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	573	573	1243.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	43	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4046	0.4046	0.08572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium hainanense"	"S"	3289775	59	14	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006322	0.0001317	0.0006322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	454	1059.5	454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	14	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6322	0.1317	0.6322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium sp. PDNC021"	"S"	3391399	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0.0001227	6.586e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001227	744.5	1465.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	744.5	9	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	0.1227	0.06586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1227	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium>unclassified&nbsp;Mycobacterium"
"Candidatus Mycobacterium wuenschmannii"	"S"	3027808	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.645e-05	5.645e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1551	1551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05645	0.05645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycolicibacterium moriokaense"	"S"	39691	52	25	52	NA	12	NA	NA	NA	NA	11	NA	10	NA	0.0005572	0.0002352	0.0005572	NA	7.515e-05	NA	NA	NA	NA	5.228e-05	NA	8.875e-05	NA	479.5	766	479.5	NA	970.5	NA	NA	NA	NA	667	NA	974.5	NA	52	25	52	NA	12	NA	NA	NA	NA	11	NA	10	NA	0.5572	0.2352	0.5572	NA	0.07515	NA	NA	NA	NA	0.05228	NA	0.08875	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Gordonia hydrophobica"	"S"	40516	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001788	0.0001788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	912.5	912.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1788	0.1788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
