Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
KH3B_105_R2	(17.0, 1.0)	(18.0, 8.0)	(19.0, 40.0)	(20.0, 115.0)	(21.0, 324.0)	(22.0, 941.0)	(23.0, 2089.0)	(24.0, 4236.0)	(25.0, 8042.0)	(26.0, 14593.0)	(27.0, 25705.0)	(28.0, 43544.0)	(29.0, 73685.0)	(30.0, 123078.0)	(31.0, 204999.0)	(32.0, 347926.0)	(33.0, 601410.0)	(34.0, 1077910.0)	(35.0, 2030167.0)	(36.0, 4025470.0)	(37.0, 7495896.0)	(38.0, 8434883.0)	(39.0, 2503263.0)	(40.0, 6133.0)	
WH1A_090_R1	(20.0, 2.0)	(21.0, 6.0)	(22.0, 56.0)	(23.0, 255.0)	(24.0, 852.0)	(25.0, 2268.0)	(26.0, 5063.0)	(27.0, 10248.0)	(28.0, 18989.0)	(29.0, 34534.0)	(30.0, 59393.0)	(31.0, 102825.0)	(32.0, 181450.0)	(33.0, 335967.0)	(34.0, 708910.0)	(35.0, 1847211.0)	(36.0, 5167028.0)	(37.0, 10331591.0)	(38.0, 9700527.0)	(39.0, 2361804.0)	(40.0, 5088.0)				
WH1A_090_R2	(17.0, 3.0)	(18.0, 32.0)	(19.0, 95.0)	(20.0, 255.0)	(21.0, 617.0)	(22.0, 1329.0)	(23.0, 2749.0)	(24.0, 4936.0)	(25.0, 8940.0)	(26.0, 14940.0)	(27.0, 24867.0)	(28.0, 40260.0)	(29.0, 64145.0)	(30.0, 102152.0)	(31.0, 164904.0)	(32.0, 273363.0)	(33.0, 476224.0)	(34.0, 925944.0)	(35.0, 2155578.0)	(36.0, 5509110.0)	(37.0, 10181897.0)	(38.0, 8883646.0)	(39.0, 2032163.0)	(40.0, 5918.0)	
WH1B_089_R1	(20.0, 1.0)	(21.0, 17.0)	(22.0, 55.0)	(23.0, 246.0)	(24.0, 781.0)	(25.0, 2121.0)	(26.0, 4806.0)	(27.0, 9738.0)	(28.0, 18242.0)	(29.0, 33103.0)	(30.0, 57885.0)	(31.0, 100817.0)	(32.0, 176529.0)	(33.0, 327022.0)	(34.0, 681320.0)	(35.0, 1730935.0)	(36.0, 4784261.0)	(37.0, 9877913.0)	(38.0, 9986235.0)	(39.0, 2752764.0)	(40.0, 11198.0)				
WH1B_089_R2	(16.0, 1.0)	(17.0, 6.0)	(18.0, 41.0)	(19.0, 114.0)	(20.0, 266.0)	(21.0, 650.0)	(22.0, 1467.0)	(23.0, 2928.0)	(24.0, 5350.0)	(25.0, 9417.0)	(26.0, 15781.0)	(27.0, 25994.0)	(28.0, 41714.0)	(29.0, 66756.0)	(30.0, 107072.0)	(31.0, 171293.0)	(32.0, 282246.0)	(33.0, 485966.0)	(34.0, 930068.0)	(35.0, 2092384.0)	(36.0, 5166216.0)	(37.0, 9718520.0)	(38.0, 9098497.0)	(39.0, 2321846.0)	(40.0, 11396.0)
WH2A_092_R1	(20.0, 1.0)	(21.0, 17.0)	(22.0, 82.0)	(23.0, 417.0)	(24.0, 1601.0)	(25.0, 4160.0)	(26.0, 10114.0)	(27.0, 21198.0)	(28.0, 40964.0)	(29.0, 74389.0)	(30.0, 128120.0)	(31.0, 215759.0)	(32.0, 361536.0)	(33.0, 617143.0)	(34.0, 1107875.0)	(35.0, 2198930.0)	(36.0, 5180611.0)	(37.0, 12194558.0)	(38.0, 15993565.0)	(39.0, 4468112.0)	(40.0, 5350.0)				
WH2A_092_R2	(17.0, 11.0)	(18.0, 89.0)	(19.0, 274.0)	(20.0, 582.0)	(21.0, 1271.0)	(22.0, 2750.0)	(23.0, 5863.0)	(24.0, 11053.0)	(25.0, 20076.0)	(26.0, 34612.0)	(27.0, 56956.0)	(28.0, 92392.0)	(29.0, 145584.0)	(30.0, 228927.0)	(31.0, 357620.0)	(32.0, 561755.0)	(33.0, 907339.0)	(34.0, 1543563.0)	(35.0, 2915131.0)	(36.0, 6376088.0)	(37.0, 12729279.0)	(38.0, 13512049.0)	(39.0, 3117281.0)	(40.0, 3957.0)	
WH2B_091_R1	(19.0, 1.0)	(20.0, 0.0)	(21.0, 4.0)	(22.0, 84.0)	(23.0, 326.0)	(24.0, 1002.0)	(25.0, 2704.0)	(26.0, 6283.0)	(27.0, 12749.0)	(28.0, 23246.0)	(29.0, 41314.0)	(30.0, 69881.0)	(31.0, 117189.0)	(32.0, 196670.0)	(33.0, 344683.0)	(34.0, 672845.0)	(35.0, 1612124.0)	(36.0, 4728535.0)	(37.0, 11391309.0)	(38.0, 12602997.0)	(39.0, 3144523.0)	(40.0, 5118.0)			
WH2B_091_R2	(17.0, 2.0)	(18.0, 33.0)	(19.0, 91.0)	(20.0, 195.0)	(21.0, 470.0)	(22.0, 1013.0)	(23.0, 2042.0)	(24.0, 3969.0)	(25.0, 6686.0)	(26.0, 11936.0)	(27.0, 19917.0)	(28.0, 33124.0)	(29.0, 53373.0)	(30.0, 88276.0)	(31.0, 144604.0)	(32.0, 243581.0)	(33.0, 425622.0)	(34.0, 821479.0)	(35.0, 1872869.0)	(36.0, 5141376.0)	(37.0, 11637880.0)	(38.0, 11808837.0)	(39.0, 2650657.0)	(40.0, 5555.0)	
WH3A_094_R1	(20.0, 2.0)	(21.0, 17.0)	(22.0, 95.0)	(23.0, 488.0)	(24.0, 1733.0)	(25.0, 4679.0)	(26.0, 10764.0)	(27.0, 21903.0)	(28.0, 41989.0)	(29.0, 75186.0)	(30.0, 129900.0)	(31.0, 222743.0)	(32.0, 381142.0)	(33.0, 672859.0)	(34.0, 1277162.0)	(35.0, 2685209.0)	(36.0, 5846982.0)	(37.0, 10615156.0)	(38.0, 11810434.0)	(39.0, 3461010.0)	(40.0, 6907.0)				
WH3A_094_R2	(16.0, 1.0)	(17.0, 9.0)	(18.0, 86.0)	(19.0, 212.0)	(20.0, 532.0)	(21.0, 1058.0)	(22.0, 2427.0)	(23.0, 5074.0)	(24.0, 9863.0)	(25.0, 18065.0)	(26.0, 31356.0)	(27.0, 51803.0)	(28.0, 85016.0)	(29.0, 135885.0)	(30.0, 216190.0)	(31.0, 344835.0)	(32.0, 559759.0)	(33.0, 939303.0)	(34.0, 1698138.0)	(35.0, 3376536.0)	(36.0, 6679170.0)	(37.0, 10568378.0)	(38.0, 10008446.0)	(39.0, 2528829.0)	(40.0, 5389.0)
WH3B_093_R1	(20.0, 1.0)	(21.0, 14.0)	(22.0, 103.0)	(23.0, 562.0)	(24.0, 1802.0)	(25.0, 4780.0)	(26.0, 11259.0)	(27.0, 23043.0)	(28.0, 43846.0)	(29.0, 78872.0)	(30.0, 135052.0)	(31.0, 227676.0)	(32.0, 386544.0)	(33.0, 667134.0)	(34.0, 1231711.0)	(35.0, 2557864.0)	(36.0, 5878049.0)	(37.0, 11812461.0)	(38.0, 12300142.0)	(39.0, 3015190.0)	(40.0, 5385.0)				
WH3B_093_R2	(17.0, 11.0)	(18.0, 42.0)	(19.0, 192.0)	(20.0, 426.0)	(21.0, 966.0)	(22.0, 2290.0)	(23.0, 4770.0)	(24.0, 9469.0)	(25.0, 17176.0)	(26.0, 30507.0)	(27.0, 50658.0)	(28.0, 83567.0)	(29.0, 134272.0)	(30.0, 213654.0)	(31.0, 342406.0)	(32.0, 554656.0)	(33.0, 926959.0)	(34.0, 1653844.0)	(35.0, 3292113.0)	(36.0, 6947526.0)	(37.0, 11806080.0)	(38.0, 10160341.0)	(39.0, 2145656.0)	(40.0, 3909.0)	
