Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
KH3B_105_R1	(1, 0.012381376899399794)	(2, 0.02171366397061506)	(3, 7.400703466467301e-05)	(4, 0.0)	(5, 0.0032896126908447156)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.1101055199700953e-05)	(14, 0.0)	(16, 0.0002257214557272527)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.00025717444545973875)	(26, 0.0)	(28, 0.0)	(30, 0.0001017596726639254)	(32, 0.0005124987150528607)	(34, 0.0006235092670498701)	(36, 0.00044404220798803805)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 1.8501758666168253e-05)	(76, 0.0007382201707801134)	(78, 0.001197063785701086)	(80, 0.00033303165599102855)	(82, 0.00047919554945375774)	(84, 0.0)	(86, 0.0)	(88, 1.665158279955143e-05)	(90, 0.0)	(92, 1.8501758666168253e-05)	(94, 0.00016651582799551428)	(96, 0.00012211160719671047)	(98, 0.0)	(100, 0.0)
KH3B_105_R2	(1, 0.010468295053317998)	(2, 0.00013321266239641144)	(3, 0.0017021617972874793)	(4, 0.0017724684802189186)	(5, 1.8501758666168253e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 1.8501758666168253e-06)	(18, 0.0)	(20, 3.7003517332336506e-05)	(22, 2.7752637999252378e-05)	(24, 0.0)	(26, 0.0)	(28, 0.00017761688319521525)	(30, 1.8501758666168253e-06)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.00021832075226078539)	(58, 1.4801406932934602e-05)	(60, 2.2202110399401906e-05)	(62, 0.0)	(64, 0.0)	(66, 5.365510013188793e-05)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0001609653003956638)	(80, 0.00010916037613039269)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
WH1A_090_R1	(1, 0.009428625001040518)	(2, 0.0004307822484157983)	(3, 0.0)	(4, 0.07599905772051346)	(5, 0.0)	(6, 9.716892821408982e-06)	(7, 6.477928547605989e-06)	(8, 0.0001846209636067707)	(9, 0.0)	(10, 0.0)	(12, 1.6194821369014973e-06)	(14, 4.8584464107044924e-05)	(16, 0.0)	(18, 0.0002542586954935351)	(20, 0.0)	(22, 0.0)	(24, 0.0051904402487693)	(26, 8.097410684507486e-06)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 7.061384235513903)	(42, 9.716892821408982e-06)	(44, 0.0)	(46, 0.0)	(48, 8.583255325577937e-05)	(50, 0.0)	(52, 0.0)	(54, 0.0006040668370642585)	(56, 0.0)	(58, 3.077016060112845e-05)	(60, 0.0)	(62, 0.0)	(64, 4.048705342253743e-05)	(66, 0.0007465812651115903)	(68, 0.00034818865943382193)	(70, 0.0)	(72, 5.182342838084791e-05)	(74, 0.0008615644968315966)	(76, 0.002319098420042944)	(78, 0.0025085778300604194)	(80, 0.0011919388527595021)	(82, 3.2389642738029946e-06)	(84, 0.0010283711569324507)	(86, 0.0008032631399031426)	(88, 5.344291051774941e-05)	(90, 0.001156310245747669)	(92, 0.0008712813896530056)	(94, 6.963773188676438e-05)	(96, 1.133637495831048e-05)	(98, 2.5911714190423957e-05)	(100, 0.0)
WH1A_090_R2	(1, 0.021118047065195527)	(2, 5.007727035119798)	(3, 0.009221331287517126)	(4, 0.004482726554943344)	(5, 0.007407511294187449)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.6194821369014972e-05)	(10, 4.534549983324192e-05)	(12, 7.449617829746888e-05)	(14, 1.6194821369014973e-06)	(16, 0.00030770160601128446)	(18, 0.00023320542771381562)	(20, 0.00020891319566029314)	(22, 0.000570057712189327)	(24, 0.000312560052421989)	(26, 0.000286648338231565)	(28, 0.0)	(30, 0.0004178263913205863)	(32, 0.0)	(34, 3.724808914873444e-05)	(36, 0.00013441701736282427)	(38, 0.0005765356407369331)	(40, 0.0)	(42, 1.6194821369014973e-06)	(44, 0.0)	(46, 0.0)	(48, 0.00856706050420892)	(50, 0.006158890566636394)	(52, 0.0021118047065195526)	(54, 4.048705342253743e-05)	(56, 9.716892821408982e-06)	(58, 0.002783889793333674)	(60, 0.0010283711569324507)	(62, 0.002136096938573075)	(64, 0.002706154650762402)	(66, 0.00013603649949972576)	(68, 0.002459993365953374)	(70, 0.005454415837084243)	(72, 0.004383938144592353)	(74, 0.006881179599694462)	(76, 0.0005036589445763657)	(78, 0.00045831344474312375)	(80, 6.963773188676438e-05)	(82, 0.0)	(84, 4.8584464107044924e-05)	(86, 0.0)	(88, 0.0002234885348924066)	(90, 0.0)	(92, 0.00041134846277298033)	(94, 2.4292232053522462e-05)	(96, 0.0)	(98, 9.716892821408982e-06)	(100, 0.0)
WH1B_089_R1	(1, 0.00958240952371072)	(2, 0.0003207227231296621)	(3, 0.0)	(4, 0.07487893780823131)	(5, 3.2726808482618577e-06)	(6, 6.545361696523715e-06)	(7, 9.818042544785574e-06)	(8, 0.00017999744665440218)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.5635574420451585e-05)	(16, 0.0)	(18, 0.0002323603402265919)	(20, 0.0)	(22, 0.0)	(24, 0.005265743484853329)	(26, 9.818042544785574e-06)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 7.058053332850722)	(42, 8.181702120654645e-06)	(44, 0.0)	(46, 0.0)	(48, 7.36353190858918e-05)	(50, 0.0)	(52, 0.0)	(54, 0.0006430817866834551)	(56, 0.0)	(58, 2.7817787210225793e-05)	(60, 0.0)	(62, 0.0)	(64, 2.4545106361963934e-05)	(66, 0.0007036263823762994)	(68, 0.00033872246779510226)	(70, 0.0)	(72, 4.254485102740415e-05)	(74, 0.000829624595034381)	(76, 0.0022892402533591697)	(78, 0.0024037840830483347)	(80, 0.0011798014457983998)	(82, 3.2726808482618577e-06)	(84, 0.0010276217863542233)	(86, 0.0008165338716413335)	(88, 6.054459569284437e-05)	(90, 0.001125802211802079)	(92, 0.0008230792333378572)	(94, 6.872629781349902e-05)	(96, 9.818042544785574e-06)	(98, 4.418119145153508e-05)	(100, 0.0)
WH1B_089_R2	(1, 0.02127242551370208)	(2, 4.958370026903728)	(3, 0.009150415651740155)	(4, 0.004100669102872108)	(5, 0.0070820813556386605)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.309072339304743e-05)	(10, 4.090851060327323e-05)	(12, 5.236289357218972e-05)	(14, 1.6363404241309289e-06)	(16, 0.00032563174440205486)	(18, 0.00025526910616442493)	(20, 0.0002192696168335445)	(22, 0.0005367196591149448)	(24, 0.0002798142125263889)	(26, 0.00029781395719182907)	(28, 0.0)	(30, 0.00037144927627772085)	(32, 0.0)	(34, 3.272680848261858e-05)	(36, 0.0001456342977476527)	(38, 0.0005809008505664797)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.008569514801173675)	(50, 0.0060659139522533535)	(52, 0.002120697189673684)	(54, 4.418119145153508e-05)	(56, 8.181702120654645e-06)	(58, 0.0027555972742364845)	(60, 0.001076711999078151)	(62, 0.0021288788917943387)	(64, 0.0027228704657538657)	(66, 0.0001636340424130929)	(68, 0.002559236423340773)	(70, 0.005380287314542495)	(72, 0.004298666294191951)	(74, 0.00678099471759857)	(76, 0.0004990838293599333)	(78, 0.0004287211911223034)	(80, 7.036263823762994e-05)	(82, 0.0)	(84, 3.599948933088044e-05)	(86, 1.6363404241309289e-06)	(88, 0.0002372693614989847)	(90, 6.545361696523715e-06)	(92, 0.00038617634009489925)	(94, 1.1454382968916502e-05)	(96, 0.0)	(98, 4.909021272392787e-06)	(100, 0.0)
WH2A_092_R1	(1, 0.01069338006576593)	(2, 0.0)	(3, 0.0)	(4, 0.043240387887698954)	(5, 0.0)	(6, 0.0)	(7, 0.01377611402943781)	(8, 4.692136931007429e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.7595513491277856e-05)	(16, 0.0)	(18, 0.0)	(20, 0.000295604626653468)	(22, 0.0)	(24, 0.004400051407052216)	(26, 7.742025936162257e-05)	(28, 0.0002439911204123863)	(30, 0.0015789040772839996)	(32, 0.00013255286830095986)	(34, 0.0003648136463858276)	(36, 0.0012445893209497203)	(38, 0.00013255286830095986)	(40, 0.0)	(42, 8.211239629263e-06)	(44, 0.00019355064840405643)	(46, 0.0006533800676427844)	(48, 0.0005067507885488022)	(50, 0.0027730529262253905)	(52, 1.1730342327518572e-05)	(54, 0.0001372450052319673)	(56, 0.0)	(58, 0.0013360859911043653)	(60, 5.513260893933729e-05)	(62, 0.00021466526459358988)	(64, 0.0001583596214215007)	(66, 9.384273862014856e-06)	(68, 0.00010791914941317086)	(70, 0.0014662927909398216)	(72, 6.217081433584842e-05)	(74, 0.0)	(76, 0.0003390068932652867)	(78, 0.0007507419089611886)	(80, 0.0006451688280135215)	(82, 0.0005407687812986062)	(84, 0.001092094870691979)	(86, 0.0006568991703410401)	(88, 0.0010991330760884903)	(90, 0.0)	(92, 0.0004821170696610133)	(94, 0.00034135296173079044)	(96, 0.0)	(98, 0.0)	(100, 0.0)
WH2A_092_R2	(1, 0.009400696341273383)	(2, 2.7668029998332884)	(3, 0.00975964481649545)	(4, 0.004068082719183441)	(5, 0.009928561746011718)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0006568991703410401)	(18, 0.0015718658718874884)	(20, 0.000566575534419147)	(22, 6.217081433584842e-05)	(24, 0.0)	(26, 0.0005947283560051916)	(28, 0.0)	(30, 9.384273862014856e-06)	(32, 0.0)	(34, 4.692136931007428e-06)	(36, 0.0)	(38, 0.0022709942746075955)	(40, 0.00036129454368757203)	(42, 0.0)	(44, 0.0)	(46, 5.865171163759286e-06)	(48, 0.0081162238564101)	(50, 0.0028117630559062017)	(52, 0.0006439957937807696)	(54, 4.1056198146315004e-05)	(56, 1.8768547724029713e-05)	(58, 0.0004985395489195393)	(60, 4.340226661181871e-05)	(62, 0.0006721486153668142)	(64, 0.0014756770648018363)	(66, 5.865171163759286e-06)	(68, 0.0026416730921571823)	(70, 0.003028774388965295)	(72, 0.003268073372446674)	(74, 0.004065736650717937)	(76, 9.618880708565229e-05)	(78, 0.00016305175835250814)	(80, 0.0)	(82, 0.0)	(84, 0.00010205397824941158)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 4.9267437775578e-05)	(94, 0.00010557308094766714)	(96, 1.0557308094766715e-05)	(98, 5.865171163759286e-06)	(100, 0.0)
WH2B_091_R1	(1, 0.009464285147531478)	(2, 0.000388864888236943)	(3, 0.0)	(4, 0.08040067494363674)	(5, 0.0)	(6, 5.718601297602102e-06)	(7, 1.4296503244005253e-05)	(8, 0.0001401057317912515)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 5.003776135401839e-05)	(16, 0.0)	(18, 0.000283070764231304)	(20, 0.0)	(22, 0.0)	(24, 0.005176763824654302)	(26, 8.577901946403152e-06)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 7.107782510269822)	(42, 5.718601297602102e-06)	(44, 0.0)	(46, 1.4296503244005255e-06)	(48, 0.00011151272530324098)	(50, 0.0)	(52, 0.0)	(54, 0.0006261868420874302)	(56, 0.0)	(58, 3.717090843441366e-05)	(60, 0.0)	(62, 0.0)	(64, 3.0022656812411037e-05)	(66, 0.0007934559300422916)	(68, 0.0004088799927785503)	(70, 0.0)	(72, 5.003776135401839e-05)	(74, 0.0009192651585895378)	(76, 0.0024818729631593123)	(78, 0.002630556596896967)	(80, 0.0013281451513680882)	(82, 2.859300648801051e-06)	(84, 0.0011565871124400251)	(86, 0.0009492878154019489)	(88, 6.433426459802365e-05)	(90, 0.0012266399783356508)	(92, 0.0008878128514527262)	(94, 7.863076784202889e-05)	(96, 1.1437202595204204e-05)	(98, 3.717090843441366e-05)	(100, 0.0)
WH2B_091_R2	(1, 0.021990881289928883)	(2, 5.121570744230496)	(3, 0.009241259696924997)	(4, 0.004251780064767163)	(5, 0.007256905046657068)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.0015104541607356e-05)	(10, 5.432671232721996e-05)	(12, 6.862321557122521e-05)	(14, 1.4296503244005255e-06)	(16, 0.00031023412039491403)	(18, 0.00021444754866007884)	(20, 0.00019586209444287197)	(22, 0.0005732897800846108)	(24, 0.00030880447007051347)	(26, 0.00029450796682650823)	(28, 0.0)	(30, 0.00044033229991536184)	(32, 0.0)	(34, 4.5748810380816816e-05)	(36, 0.00014296503244005254)	(38, 0.0005461264239210007)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.008609354253539965)	(50, 0.00622898646341309)	(52, 0.0022245359047672175)	(54, 5.861566330042155e-05)	(56, 1.572615356840578e-05)	(58, 0.002973672674753093)	(60, 0.0011465795601692216)	(62, 0.002198802198928008)	(64, 0.002812122188095834)	(66, 0.00018156559119886673)	(68, 0.00266629785500698)	(70, 0.005695726892411693)	(72, 0.004389026495909613)	(74, 0.006919507570098543)	(76, 0.0005003776135401839)	(78, 0.0004875107606205792)	(80, 8.720866978843206e-05)	(82, 0.0)	(84, 6.433426459802365e-05)	(86, 0.0)	(88, 0.00026734461066289827)	(90, 8.577901946403152e-06)	(92, 0.0004717846070521734)	(94, 3.0022656812411037e-05)	(96, 0.0)	(98, 2.573370583920946e-05)	(100, 0.0)
